"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","gain","loss","mag","con","retend"
"202389",28,1,3,NA,FALSE,171,1,-25,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",29,1,3,NA,FALSE,171,0,0,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",30,1,3,NA,FALSE,171,1,50,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",31,1,2,NA,FALSE,171,1,-1150,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",32,1,2,NA,FALSE,171,0,0,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",33,1,1,NA,FALSE,171,1,100,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",34,1,3,NA,FALSE,171,1,0,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",35,1,4,NA,FALSE,171,1,50,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",36,1,3,NA,FALSE,171,0,0,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",37,1,1,NA,FALSE,171,1,-250,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",38,1,3,NA,FALSE,171,0,0,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",39,1,4,NA,FALSE,171,0,0,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",40,1,4,NA,FALSE,171,1,50,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",41,2,2,NA,FALSE,171,1,-1150,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",42,2,3,NA,FALSE,171,0,0,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",43,2,1,NA,FALSE,171,0,0,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",44,2,2,NA,FALSE,171,0,0,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",45,2,2,NA,FALSE,171,0,0,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",46,2,4,NA,FALSE,171,0,0,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",47,2,1,NA,FALSE,171,0,0,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",48,2,4,NA,FALSE,171,1,50,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",49,2,1,NA,FALSE,171,0,0,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",50,2,4,NA,FALSE,171,0,0,0.8749695,3.575575,0.148295,-1.276065,0.463978
