"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","consistency","update_rate_mf","decay_factor","pos_val","neg_val","var_pe_update"
"202075",19,0,1,1,TRUE,46,1,100,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
"202075",20,0,1,0,TRUE,46,0,0,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
"202075",21,1,1,NA,FALSE,46,0,0,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
"202075",22,1,3,NA,FALSE,46,0,0,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
"202075",23,1,4,NA,FALSE,46,1,50,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
"202075",24,1,3,NA,FALSE,46,1,50,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
"202075",25,1,4,NA,FALSE,46,1,50,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
"202075",26,1,1,NA,FALSE,46,1,-250,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
"202075",27,1,2,NA,FALSE,46,1,100,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
"202075",28,1,3,NA,FALSE,46,0,0,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
"202075",29,1,2,NA,FALSE,46,1,100,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
"202075",30,1,1,NA,FALSE,46,1,-250,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
"202075",31,1,1,NA,FALSE,46,1,-250,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
"202075",32,1,1,NA,FALSE,46,1,100,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
"202075",33,1,1,NA,FALSE,46,0,0,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
"202075",34,1,2,NA,FALSE,46,1,100,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
"202075",35,1,3,NA,FALSE,46,1,-25,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
"202075",36,1,3,NA,FALSE,46,1,0,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
"202075",37,1,3,NA,FALSE,46,1,-25,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
"202075",38,1,2,NA,FALSE,46,0,0,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
"202075",39,1,3,NA,FALSE,46,1,50,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
"202075",40,1,4,NA,FALSE,46,1,50,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
"202075",41,2,3,NA,FALSE,46,0,0,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
"202075",42,2,1,NA,FALSE,46,1,-250,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
"202075",43,2,2,NA,FALSE,46,1,100,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
"202075",44,2,1,NA,FALSE,46,0,0,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
