"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","RT","boundary1","boundary","tau1","tau","drift_A","drift_B","drift_C","drift_D"
"0002",46,3,NA,FALSE,74,2,0.25,0,0.605185898269329,1.446305,0.984927,0.05967405,0.0524764,0.2088345,0.98859,0.1394515,0.1819405
"0002",47,3,NA,FALSE,74,4,0.141378106549382,0.635555693239439,0.383303359671769,1.446305,0.984927,0.05967405,0.0524764,0.2088345,0.98859,0.1394515,0.1819405
"0002",48,3,NA,FALSE,74,4,0.105951843294315,0,0.354613012345375,1.446305,0.984927,0.05967405,0.0524764,0.2088345,0.98859,0.1394515,0.1819405
"0002",49,3,NA,FALSE,74,4,0.118047689727973,0,0.606860333999373,1.446305,0.984927,0.05967405,0.0524764,0.2088345,0.98859,0.1394515,0.1819405
"0002",50,3,NA,FALSE,74,3,0.114076536486391,0,0.863928600266654,1.446305,0.984927,0.05967405,0.0524764,0.2088345,0.98859,0.1394515,0.1819405
"0002",51,3,NA,FALSE,74,1,0.25,0,0.358665422961354,1.446305,0.984927,0.05967405,0.0524764,0.2088345,0.98859,0.1394515,0.1819405
"0002",52,3,NA,FALSE,74,4,0.109583939460572,0,0.452954657849139,1.446305,0.984927,0.05967405,0.0524764,0.2088345,0.98859,0.1394515,0.1819405
"0002",53,3,NA,FALSE,74,4,0.136925747955684,0,0.343248889183525,1.446305,0.984927,0.05967405,0.0524764,0.2088345,0.98859,0.1394515,0.1819405
"0002",54,3,NA,FALSE,74,2,0.25,0,0.840753328363589,1.446305,0.984927,0.05967405,0.0524764,0.2088345,0.98859,0.1394515,0.1819405
"0002",55,3,NA,FALSE,74,2,0.25,0,0.175329210133353,1.446305,0.984927,0.05967405,0.0524764,0.2088345,0.98859,0.1394515,0.1819405
"0002",56,3,NA,FALSE,74,3,0.14273685622029,0,0.414952061970111,1.446305,0.984927,0.05967405,0.0524764,0.2088345,0.98859,0.1394515,0.1819405
"0002",57,3,NA,FALSE,74,2,0.25,0,0.671912150004571,1.446305,0.984927,0.05967405,0.0524764,0.2088345,0.98859,0.1394515,0.1819405
"0002",58,3,NA,FALSE,74,3,0.149467382370494,0.0668122961069457,0.467118745290633,1.446305,0.984927,0.05967405,0.0524764,0.2088345,0.98859,0.1394515,0.1819405
"0002",59,3,NA,FALSE,74,4,0.105503607250284,0,0.277679226792606,1.446305,0.984927,0.05967405,0.0524764,0.2088345,0.98859,0.1394515,0.1819405
"0002",60,3,NA,FALSE,74,2,0.25,0,0.502656006728062,1.446305,0.984927,0.05967405,0.0524764,0.2088345,0.98859,0.1394515,0.1819405
"0002",61,4,NA,FALSE,74,4,0.115756795566995,0,0.531358327786624,1.446305,0.984927,0.05967405,0.0524764,0.2088345,0.98859,0.1394515,0.1819405
"0002",62,4,NA,FALSE,74,4,0.115564530657139,0,0.727155267877368,1.446305,0.984927,0.05967405,0.0524764,0.2088345,0.98859,0.1394515,0.1819405
"0002",63,4,NA,FALSE,74,3,0.120142575609498,0,0.908039569785527,1.446305,0.984927,0.05967405,0.0524764,0.2088345,0.98859,0.1394515,0.1819405
"0002",64,4,NA,FALSE,74,1,0.25,0.54911556529114,0.37473089475218,1.446305,0.984927,0.05967405,0.0524764,0.2088345,0.98859,0.1394515,0.1819405
"0002",65,4,NA,FALSE,74,4,0.107925120473374,0,0.355350442687786,1.446305,0.984927,0.05967405,0.0524764,0.2088345,0.98859,0.1394515,0.1819405
"0002",66,4,NA,FALSE,74,4,0.107217983284499,0,0.231276069874551,1.446305,0.984927,0.05967405,0.0524764,0.2088345,0.98859,0.1394515,0.1819405
"0002",67,4,NA,FALSE,74,1,0.25,0.584568568121176,0.378906457385987,1.446305,0.984927,0.05967405,0.0524764,0.2088345,0.98859,0.1394515,0.1819405
"0002",68,4,NA,FALSE,74,2,0.25,0,0.265850724632476,1.446305,0.984927,0.05967405,0.0524764,0.2088345,0.98859,0.1394515,0.1819405
"0002",69,4,NA,FALSE,74,3,0.127338230889291,0.19294041658286,0.88959793872448,1.446305,0.984927,0.05967405,0.0524764,0.2088345,0.98859,0.1394515,0.1819405
