"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","Arew","Apun","K","betaF","betaP"
"10",14,1,NA,FALSE,164,3,0.120504237618297,0.0649814645876177,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",15,1,NA,FALSE,164,3,0.114802878152113,0.148336665006354,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",16,1,NA,FALSE,164,4,0.128316191700287,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",17,1,NA,FALSE,164,1,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",18,1,NA,FALSE,164,3,0.108555212162901,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",19,1,NA,FALSE,164,4,0.141491038107779,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",20,1,NA,FALSE,164,3,0.145647777302656,0.153699210274499,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",21,2,NA,FALSE,164,3,0.146510242577642,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",22,2,NA,FALSE,164,1,0.25,0.370667842240073,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",23,2,NA,FALSE,164,2,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",24,2,NA,FALSE,164,4,0.110892028023954,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",25,2,NA,FALSE,164,2,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",26,2,NA,FALSE,164,1,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",27,2,NA,FALSE,164,2,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",28,2,NA,FALSE,164,3,0.126755654253066,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",29,2,NA,FALSE,164,1,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",30,2,NA,FALSE,164,2,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",31,2,NA,FALSE,164,1,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",32,2,NA,FALSE,164,2,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",33,2,NA,FALSE,164,1,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",34,2,NA,FALSE,164,1,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
