"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","RT","boundary1","boundary","tau1","tau","urgency","drift_con","gain","loss","update","epP","epN","K","w","decay"
"0001",100,5,NA,FALSE,37,3,0.104513035877608,0.151631843787618,1.54970448773532,1.863365,1.870265,0.135276,0.07927995,0.147496,0.445525,0.2448095,3.381885,0.4297815,-0.502068,-0.1980695,0.4510535,0.290817,0.4829835
"0003",1,1,NA,FALSE,42,3,0.114154813170899,0,1.06295198037435,2.277595,1.9372,0.0589232,0.05674625,0.163009,0.783201,0.471179,3.500875,0.528828,1.075245,0.630312,0.143188,0.192515,0.3933105
"0003",2,1,NA,FALSE,42,3,0.147766652260907,0,0.996144246759929,2.277595,1.9372,0.0589232,0.05674625,0.163009,0.783201,0.471179,3.500875,0.528828,1.075245,0.630312,0.143188,0.192515,0.3933105
"0003",3,1,NA,FALSE,42,1,0.25,0.569371284591034,1.06718134022977,2.277595,1.9372,0.0589232,0.05674625,0.163009,0.783201,0.471179,3.500875,0.528828,1.075245,0.630312,0.143188,0.192515,0.3933105
"0003",4,1,NA,FALSE,42,1,0.25,0.731951918383129,1.02480211870075,2.277595,1.9372,0.0589232,0.05674625,0.163009,0.783201,0.471179,3.500875,0.528828,1.075245,0.630312,0.143188,0.192515,0.3933105
"0003",5,1,NA,FALSE,42,1,0.25,0.702680821635295,1.11557749525683,2.277595,1.9372,0.0589232,0.05674625,0.163009,0.783201,0.471179,3.500875,0.528828,1.075245,0.630312,0.143188,0.192515,0.3933105
"0003",6,1,NA,FALSE,42,1,0.25,0,1.62354607066955,2.277595,1.9372,0.0589232,0.05674625,0.163009,0.783201,0.471179,3.500875,0.528828,1.075245,0.630312,0.143188,0.192515,0.3933105
"0003",7,1,NA,FALSE,42,1,0.25,0.844869900459889,0.727499719962558,2.277595,1.9372,0.0589232,0.05674625,0.163009,0.783201,0.471179,3.500875,0.528828,1.075245,0.630312,0.143188,0.192515,0.3933105
"0003",8,1,NA,FALSE,42,2,0.25,0,0.778464894811501,2.277595,1.9372,0.0589232,0.05674625,0.163009,0.783201,0.471179,3.500875,0.528828,1.075245,0.630312,0.143188,0.192515,0.3933105
"0003",9,1,NA,FALSE,42,1,0.25,0.613159504975192,0.912884962806885,2.277595,1.9372,0.0589232,0.05674625,0.163009,0.783201,0.471179,3.500875,0.528828,1.075245,0.630312,0.143188,0.192515,0.3933105
"0003",10,1,NA,FALSE,42,1,0.25,0.674631059577223,1.37827035662783,2.277595,1.9372,0.0589232,0.05674625,0.163009,0.783201,0.471179,3.500875,0.528828,1.075245,0.630312,0.143188,0.192515,0.3933105
"0003",11,1,NA,FALSE,42,2,0.25,0,1.52377147217161,2.277595,1.9372,0.0589232,0.05674625,0.163009,0.783201,0.471179,3.500875,0.528828,1.075245,0.630312,0.143188,0.192515,0.3933105
"0003",12,1,NA,FALSE,42,2,0.25,0,1.21210027569142,2.277595,1.9372,0.0589232,0.05674625,0.163009,0.783201,0.471179,3.500875,0.528828,1.075245,0.630312,0.143188,0.192515,0.3933105
