"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","RT","boundary","tau","beta","drift_con","gain","loss","mag","update","decay"
"200952",34,1,4,NA,FALSE,176,1,50,1.0640807518034,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",35,1,2,NA,FALSE,176,0,0,0.922197344937952,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",36,1,4,NA,FALSE,176,1,50,1.18337070070667,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",37,1,4,NA,FALSE,176,1,50,1.66662344205315,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",38,1,4,NA,FALSE,176,1,50,0.901395266170975,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",39,1,4,NA,FALSE,176,1,50,0.609964416916609,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",40,1,2,NA,FALSE,176,1,100,0.540082234788363,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",41,2,4,NA,FALSE,176,1,50,0.87233729992283,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",42,2,2,NA,FALSE,176,0,0,1.1006306702238,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",43,2,4,NA,FALSE,176,0,0,0.665901511740444,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",44,2,1,NA,FALSE,176,0,0,0.797690541265615,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",45,2,2,NA,FALSE,176,0,0,1.00397621955274,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",46,2,3,NA,FALSE,176,1,50,1.26127913149599,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",47,2,2,NA,FALSE,176,0,0,1.77347230777575,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",48,2,2,NA,FALSE,176,1,100,0.354963085148886,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",49,2,2,NA,FALSE,176,1,100,0.390864562064517,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",50,2,3,NA,FALSE,176,1,-25,0.738986396952331,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",51,2,2,NA,FALSE,176,1,100,1.6137765303977,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",52,2,1,NA,FALSE,176,0,0,1.51074222165858,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",53,2,2,NA,FALSE,176,1,100,1.36490894752172,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",54,2,2,NA,FALSE,176,0,0,0.914898430335175,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",55,2,1,NA,FALSE,176,1,100,0.337056046385001,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",56,2,4,NA,FALSE,176,1,50,2.42317837963295,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
"200952",57,2,4,NA,FALSE,176,1,50,0.443563831296228,1.823375,0.2288425,0.6092095,-1.5753,1.805795,5.332205,0.2792175,0.2270885,0.810787
